name,season,age,team_id,pos,g,gs,mp_per_g,fg_pct,fg3_pct,fg2_pct,efg_pct,ft_pct,orb_per_g,drb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,height,weight
Alex Abrines,2016.0,23.0,OKC,SG,68.0,6.0,15.5,0.393,0.381,0.426,0.531,0.898,0.3,1.0,0.6,0.5,0.1,0.5,1.7,6.0,78,200.0
Alex Abrines,2017.0,24.0,OKC,SG,75.0,8.0,15.1,0.395,0.38,0.443,0.54,0.848,0.3,1.2,0.4,0.5,0.1,0.3,1.7,4.7,78,200.0
Alex Acker,2008.0,26.0,DET,SG,7.0,0.0,2.9,0.364,0.0,0.571,0.364,0.5,0.0,0.3,0.1,0.3,0.1,0.0,0.0,1.3,77,185.0
Alex Acker,2008.0,26.0,LAC,SG,18.0,0.0,9.9,0.4,0.438,0.388,0.454,0.5,0.4,0.8,0.6,0.2,0.2,0.4,0.5,3.5,77,185.0
Quincy Acy,2012.0,22.0,TOR,PF,29.0,0.0,11.8,0.56,0.5,0.562,0.567,0.816,1.0,1.6,0.4,0.4,0.5,0.6,1.8,4.0,79,240.0
Quincy Acy,2013.0,23.0,TOR,SF,7.0,0.0,8.7,0.429,0.4,0.444,0.5,0.625,0.7,1.4,0.6,0.6,0.4,0.3,1.1,2.7,79,240.0
Quincy Acy,2013.0,23.0,SAC,SF,56.0,0.0,14.0,0.472,0.2,0.496,0.48,0.667,1.2,2.4,0.4,0.3,0.4,0.5,2.0,2.7,79,240.0
Quincy Acy,2014.0,24.0,NYK,PF,68.0,22.0,18.9,0.459,0.3,0.494,0.486,0.784,1.2,3.3,1.0,0.4,0.3,0.9,2.2,5.9,79,240.0
Quincy Acy,2015.0,25.0,SAC,PF,59.0,29.0,14.8,0.556,0.388,0.606,0.6,0.735,1.1,2.1,0.5,0.5,0.4,0.5,1.7,5.2,79,240.0
Quincy Acy,2016.0,26.0,DAL,PF,6.0,0.0,8.0,0.294,0.143,0.4,0.324,0.667,0.3,1.0,0.0,0.0,0.0,0.3,1.5,2.2,79,240.0
Quincy Acy,2016.0,26.0,BRK,PF,32.0,1.0,15.9,0.425,0.434,0.414,0.542,0.754,0.6,2.8,0.6,0.4,0.5,0.6,1.8,6.5,79,240.0
Quincy Acy,2017.0,27.0,BRK,PF,70.0,8.0,19.4,0.356,0.349,0.384,0.496,0.817,0.6,3.1,0.8,0.5,0.4,0.9,2.1,5.9,79,240.0
Hassan Adams,2008.0,24.0,TOR,SG,12.0,0.0,4.3,0.308,0.0,0.308,0.308,0.5,0.1,0.5,0.1,0.1,0.1,0.3,0.3,0.9,76,220.0
Jordan Adams,2014.0,20.0,MEM,SG,30.0,0.0,8.3,0.407,0.4,0.41,0.465,0.609,0.3,0.6,0.5,0.5,0.2,0.5,0.8,3.1,77,209.0
Jordan Adams,2015.0,21.0,MEM,SG,2.0,0.0,7.5,0.333,0.0,0.4,0.333,0.6,0.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5,77,209.0
Steven Adams,2013.0,20.0,OKC,C,81.0,20.0,14.8,0.503,0.0,0.503,0.503,0.581,1.8,2.3,0.5,0.5,0.7,0.9,2.5,3.3,84,265.0
Steven Adams,2014.0,21.0,OKC,C,70.0,67.0,25.3,0.544,0.0,0.547,0.544,0.502,2.8,4.6,0.9,0.5,1.2,1.4,3.2,7.7,84,265.0
Steven Adams,2015.0,22.0,OKC,C,80.0,80.0,25.2,0.613,0.0,0.613,0.613,0.582,2.7,3.9,0.8,0.5,1.1,1.1,2.8,8.0,84,265.0
Steven Adams,2016.0,23.0,OKC,C,80.0,80.0,29.9,0.571,0.0,0.572,0.571,0.611,3.5,4.2,1.1,1.1,1.0,1.8,2.4,11.3,84,265.0
Steven Adams,2017.0,24.0,OKC,C,76.0,76.0,32.7,0.629,0.0,0.631,0.629,0.559,5.1,4.0,1.2,1.2,1.0,1.7,2.8,13.9,84,265.0
Bam Adebayo,2017.0,20.0,MIA,C,69.0,19.0,19.8,0.512,0.0,0.523,0.512,0.721,1.7,3.8,1.5,0.5,0.6,1.0,2.0,6.9,82,255.0
Jeff Adrien,2010.0,24.0,GSW,PF,23.0,0.0,8.5,0.426,0.0,0.426,0.426,0.579,1.0,1.5,0.4,0.2,0.2,0.4,1.2,2.5,79,245.0
Jeff Adrien,2011.0,25.0,HOU,PF,8.0,0.0,7.9,0.438,0.0,0.438,0.438,0.583,0.6,2.1,0.1,0.0,0.3,0.3,1.6,2.6,79,245.0
