season,lg_id,team_id,wins,losses,rank_team,avg_age,avg_ht,avg_wt,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,division,conference,finish
2017.0,NBA,ATL,24.0,58.0,5.0,25.4,78.0,212.0,82.0,240.3,38.2,85.5,0.446,11.2,31.0,0.36,27.0,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,Southeast,E,15.0
2016.0,NBA,ATL,43.0,39.0,2.0,27.9,78.0,219.0,82.0,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,Southeast,E,5.0
2015.0,NBA,ATL,48.0,34.0,2.0,28.2,78.0,217.0,82.0,241.8,38.6,84.4,0.458,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20.0,0.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,Southeast,E,3.0
2014.0,NBA,ATL,60.0,22.0,1.0,27.8,78.0,218.0,82.0,240.6,38.1,81.7,0.466,10.0,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,Southeast,E,1.0
2013.0,NBA,ATL,38.0,44.0,4.0,27.6,78.0,220.0,82.0,241.8,37.3,81.6,0.458,9.4,25.8,0.363,28.0,55.8,0.502,17.0,21.7,0.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,Southeast,E,8.0
2012.0,NBA,ATL,44.0,38.0,2.0,27.1,78.0,215.0,82.0,242.1,37.6,81.0,0.464,8.6,23.2,0.371,29.0,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,Southeast,E,6.0
2017.0,NBA,BOS,55.0,27.0,2.0,24.7,78.0,221.0,82.0,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16.0,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,Atlantic,E,2.0
2016.0,NBA,BOS,53.0,29.0,1.0,25.9,77.0,219.0,82.0,240.9,38.6,85.1,0.454,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,Atlantic,E,1.0
2015.0,NBA,BOS,48.0,34.0,2.0,25.2,77.0,220.0,82.0,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,Atlantic,E,4.0
2014.0,NBA,BOS,40.0,42.0,2.0,25.0,78.0,221.0,82.0,242.4,38.9,87.9,0.443,8.0,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,Atlantic,E,7.0
2013.0,NBA,BOS,25.0,57.0,4.0,25.4,78.0,221.0,82.0,240.6,36.5,83.9,0.435,7.0,21.1,0.333,29.5,62.9,0.47,16.2,20.8,0.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2,Atlantic,E,12.0
2012.0,NBA,BOS,41.0,40.0,3.0,29.1,78.0,214.0,81.0,244.9,37.0,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21.0,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,Atlantic,E,7.0
2017.0,NBA,BRK,28.0,54.0,5.0,25.1,79.0,218.0,82.0,242.1,38.2,86.8,0.441,12.7,35.7,0.356,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,Atlantic,E,12.0
2016.0,NBA,BRK,20.0,62.0,5.0,26.0,79.0,224.0,82.0,240.9,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,Atlantic,E,15.0
2015.0,NBA,BRK,21.0,61.0,4.0,26.9,78.0,220.0,82.0,240.9,38.2,84.4,0.453,6.5,18.4,0.352,31.8,66.0,0.481,15.7,20.7,0.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6,Atlantic,E,14.0
